<,rank,date,main_artist,featured_artist_1,featured_artist_2,featured_artist_3,song,semanas_en_rank,peak_rank,artist_full,popularity,duration_ms,explicit,release_date,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,cantidad_de_features
619788,1,02/01/2010,Ke$ha,,,,TiK ToK,28,1,Ke$ha,,,no,07/08/2009,,,,,,,,,,1
623387,2,02/01/2010,Jay-Z + Alicia Keys,,,,Empire State Of Mind,16,2,Jay-Z + Alicia Keys,,,si,03/10/2009,,,,,,,,,,1
628194,2,16/01/2010,Lady Gaga,,,,Bad Romance,27,2,Lady Gaga,83,294573,si,19/11/2009,0.696,0.921,-3.755,0.0363,0.00314,5.24E-05,0.0842,0.714,119.001,1
628194,2,16/01/2010,Lady Gaga,,,,Bad Romance,27,2,Lady Gaga,13,294573,si,19/11/2009,0.695,0.921,-3.752,0.0363,0.00314,5.26E-05,0.0842,0.714,119.007,1
628194,2,16/01/2010,Lady Gaga,,,,Bad Romance,27,2,Lady Gaga,51,294640,si,19/11/2009,0.695,0.919,-3.769,0.0381,0.00264,4.10E-05,0.062,0.717,119.002,1
628194,2,16/01/2010,Lady Gaga,,,,Bad Romance,27,2,Lady Gaga,54,294467,si,19/11/2009,0.693,0.924,-3.711,0.0392,0.0034,4.40E-05,0.0926,0.715,118.983,1
628194,2,16/01/2010,Lady Gaga,,,,Bad Romance,27,2,Lady Gaga,0,294573,si,19/11/2009,0.695,0.921,-3.752,0.0363,0.00314,5.26E-05,0.0842,0.714,119.007,1
628194,2,16/01/2010,Lady Gaga,,,,Bad Romance,27,2,Lady Gaga,47,294467,si,19/11/2009,0.693,0.924,-3.711,0.0392,0.0034,4.40E-05,0.0926,0.715,118.983,1
628194,2,16/01/2010,Lady Gaga,,,,Bad Romance,27,2,Lady Gaga,48,294573,si,19/11/2009,0.696,0.921,-3.755,0.0363,0.00314,5.24E-05,0.0842,0.714,119.001,1
614153,4,02/01/2010,Iyaz,,,,Replay,17,2,Iyaz,78,182307,no,07/07/2009,0.706,0.751,-6.323,0.0708,0.173,0,0.168,0.195,91.031,1
614153,4,02/01/2010,Iyaz,,,,Replay,17,2,Iyaz,75,182307,no,07/07/2009,0.706,0.751,-6.323,0.0708,0.173,0,0.168,0.195,91.031,1
614153,4,02/01/2010,Iyaz,,,,Replay,17,2,Iyaz,5,182307,no,07/07/2009,0.706,0.751,-6.323,0.0708,0.173,0,0.168,0.195,91.034,1
617994,5,02/01/2010,Owl City,,,,Fireflies,14,4,Owl City,80,228347,no,14/07/2009,0.512,0.662,-6.797,0.0439,0.0275,0,0.118,0.472,180.114,1
619787,6,02/01/2010,David Guetta,Akon,,,Sexy Chick,21,5,David Guetta & Akon,,,no,24/07/2009,,,,,,,,,,1
612267,7,02/01/2010,Jason Derulo,,,,Whatcha Say,14,6,Jason Derulo,74,221253,no,05/05/2009,0.615,0.711,-5.507,0.0779,0.0444,0,0.145,0.711,144.036,1
612267,7,02/01/2010,Jason Derulo,,,,Whatcha Say,14,6,Jason Derulo,22,221253,no,05/05/2009,0.615,0.711,-5.507,0.078,0.0444,0,0.145,0.711,144.034,1
